o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
20080,12469,F,149534.49,19930802,3-MEDIUM,Clerk#84,0,Order 20080 comment
20081,4544,O,443127.36,19960804,4-NOT SPECIFIED,Clerk#88,1,Order 20081 comment
20082,31115,P,168490.89,19950824,2-HIGH,Clerk#12,0,Order 20082 comment
20083,2106,F,366562.54,19970802,4-NOT SPECIFIED,Clerk#68,0,Order 20083 comment
20084,32798,O,249035.06,19980526,1-URGENT,Clerk#34,0,Order 20084 comment
20085,30420,O,8643.85,19920116,5-LOW,Clerk#94,0,Order 20085 comment
20086,10759,O,286724.51,19920830,2-HIGH,Clerk#57,1,Order 20086 comment
20087,44592,O,215207.36,19950228,5-LOW,Clerk#93,1,Order 20087 comment
20088,14558,F,143353.72,19920528,5-LOW,Clerk#10,1,Order 20088 comment
20089,21589,P,458559.39,19931229,4-NOT SPECIFIED,Clerk#84,1,Order 20089 comment
20090,29154,P,183758.42,19950811,4-NOT SPECIFIED,Clerk#58,0,Order 20090 comment
20091,4575,F,310819.78,19931219,1-URGENT,Clerk#85,1,Order 20091 comment
20092,11300,F,40859.06,19961014,1-URGENT,Clerk#8,0,Order 20092 comment
20093,542,O,146475.82,19980115,3-MEDIUM,Clerk#13,1,Order 20093 comment
20094,31091,F,114971.56,19930215,1-URGENT,Clerk#53,1,Order 20094 comment
20095,8142,O,136004.8,19941130,1-URGENT,Clerk#64,1,Order 20095 comment
20096,5952,P,476301.16,19980815,3-MEDIUM,Clerk#76,0,Order 20096 comment
20097,42788,F,435733.18,19950424,2-HIGH,Clerk#95,1,Order 20097 comment
20098,33645,F,44112.77,19970104,4-NOT SPECIFIED,Clerk#100,1,Order 20098 comment
20099,6052,O,388558.58,19940609,1-URGENT,Clerk#22,0,Order 20099 comment
20100,14662,O,484761.9,19921210,1-URGENT,Clerk#54,1,Order 20100 comment
20101,14939,O,340104.76,19921204,3-MEDIUM,Clerk#4,0,Order 20101 comment
20102,31734,O,241187.67,19940901,5-LOW,Clerk#56,1,Order 20102 comment
20103,369,O,415805.48,19930805,5-LOW,Clerk#49,1,Order 20103 comment
20104,40846,F,334870.12,19931110,1-URGENT,Clerk#39,1,Order 20104 comment
20105,47957,F,30302.27,19970910,5-LOW,Clerk#32,1,Order 20105 comment
20106,11948,F,145022.72,19970701,1-URGENT,Clerk#10,0,Order 20106 comment
20107,36915,F,86141.77,19970210,2-HIGH,Clerk#82,0,Order 20107 comment
20108,19560,O,32800.74,19940923,1-URGENT,Clerk#30,0,Order 20108 comment
20109,35655,F,470150.71,19920711,5-LOW,Clerk#87,1,Order 20109 comment
20110,11371,P,264734.39,19980411,2-HIGH,Clerk#31,1,Order 20110 comment
20111,33076,F,46690.19,19931128,4-NOT SPECIFIED,Clerk#50,0,Order 20111 comment
20112,19693,O,269100.59,19960311,3-MEDIUM,Clerk#37,1,Order 20112 comment
20113,14729,O,488899.56,19950325,3-MEDIUM,Clerk#43,0,Order 20113 comment
20114,30252,F,302402.56,19960530,2-HIGH,Clerk#97,1,Order 20114 comment
20115,3232,F,490052.32,19940803,3-MEDIUM,Clerk#41,0,Order 20115 comment
20116,28318,O,322827.58,19930511,2-HIGH,Clerk#39,1,Order 20116 comment
20117,9043,F,316855.88,19980808,1-URGENT,Clerk#30,0,Order 20117 comment
20118,30105,O,342493.48,19930823,5-LOW,Clerk#78,1,Order 20118 comment
20119,24689,O,211931.42,19931126,4-NOT SPECIFIED,Clerk#47,1,Order 20119 comment
20120,44260,O,452478.07,19960729,5-LOW,Clerk#76,1,Order 20120 comment
20121,41821,O,329589.83,19921030,1-URGENT,Clerk#86,0,Order 20121 comment
20122,34312,P,35564.68,19980422,4-NOT SPECIFIED,Clerk#54,1,Order 20122 comment
20123,48073,F,293596.73,19921025,3-MEDIUM,Clerk#11,0,Order 20123 comment
20124,32289,O,355124.94,19970816,5-LOW,Clerk#27,1,Order 20124 comment
20125,15753,O,473747.31,19950507,3-MEDIUM,Clerk#99,0,Order 20125 comment
20126,47092,F,8456.75,19950929,5-LOW,Clerk#43,1,Order 20126 comment
20127,44804,F,176987.43,19930520,2-HIGH,Clerk#10,0,Order 20127 comment
20128,30500,P,286946.85,19980617,5-LOW,Clerk#37,0,Order 20128 comment
20129,20761,P,257543.79,19980825,3-MEDIUM,Clerk#79,1,Order 20129 comment
20130,7799,O,278162.26,19971201,3-MEDIUM,Clerk#16,0,Order 20130 comment
20131,21780,O,496473.99,19961102,1-URGENT,Clerk#39,0,Order 20131 comment
20132,16444,F,462129.6,19930504,4-NOT SPECIFIED,Clerk#1,1,Order 20132 comment
20133,15170,F,435317.18,19931126,2-HIGH,Clerk#27,0,Order 20133 comment
20134,23326,P,418409.35,19981029,3-MEDIUM,Clerk#41,1,Order 20134 comment
20135,5798,P,301632.98,19920811,5-LOW,Clerk#98,0,Order 20135 comment
20136,23405,O,293096.22,19941031,1-URGENT,Clerk#21,0,Order 20136 comment
20137,35733,F,333572.49,19941124,3-MEDIUM,Clerk#21,1,Order 20137 comment
20138,11963,O,213114.27,19980803,4-NOT SPECIFIED,Clerk#56,0,Order 20138 comment
20139,4973,O,374782.16,19960114,2-HIGH,Clerk#14,1,Order 20139 comment
20140,20781,P,326523.65,19980828,4-NOT SPECIFIED,Clerk#71,1,Order 20140 comment
20141,29433,P,133958.5,19950215,3-MEDIUM,Clerk#58,1,Order 20141 comment
20142,7778,O,138740.21,19960317,5-LOW,Clerk#14,1,Order 20142 comment
20143,3114,F,29720.78,19950115,1-URGENT,Clerk#27,0,Order 20143 comment
20144,32289,O,152653.69,19950103,3-MEDIUM,Clerk#3,0,Order 20144 comment
20145,47529,F,132124.05,19980505,3-MEDIUM,Clerk#81,0,Order 20145 comment
20146,44445,F,244320.75,19960406,5-LOW,Clerk#37,1,Order 20146 comment
20147,49122,F,397801.18,19930715,4-NOT SPECIFIED,Clerk#95,0,Order 20147 comment
20148,30969,P,144774.33,19921027,3-MEDIUM,Clerk#76,1,Order 20148 comment
20149,19881,O,419617.55,19981010,4-NOT SPECIFIED,Clerk#82,0,Order 20149 comment
20150,9504,O,3049.12,19951210,4-NOT SPECIFIED,Clerk#18,0,Order 20150 comment
20151,43813,F,58751.11,19920901,2-HIGH,Clerk#16,0,Order 20151 comment
20152,18415,F,189752.58,19980303,2-HIGH,Clerk#22,0,Order 20152 comment
20153,25907,P,458107.12,19951226,3-MEDIUM,Clerk#81,1,Order 20153 comment
20154,10875,F,330869.51,19920729,5-LOW,Clerk#18,1,Order 20154 comment
20155,33828,P,438930.05,19940317,2-HIGH,Clerk#45,0,Order 20155 comment
20156,32427,O,440800.93,19960113,2-HIGH,Clerk#58,1,Order 20156 comment
20157,35144,F,185341.31,19970423,4-NOT SPECIFIED,Clerk#75,1,Order 20157 comment
20158,48327,O,23239.95,19920411,2-HIGH,Clerk#5,1,Order 20158 comment
20159,38043,O,270742.2,19980128,3-MEDIUM,Clerk#97,1,Order 20159 comment
20160,41695,P,58012.17,19970516,4-NOT SPECIFIED,Clerk#46,0,Order 20160 comment
20161,12309,F,165671.03,19981228,4-NOT SPECIFIED,Clerk#29,0,Order 20161 comment
20162,1627,P,50157.79,19960510,1-URGENT,Clerk#94,0,Order 20162 comment
20163,37600,O,376753.71,19960720,5-LOW,Clerk#32,0,Order 20163 comment
20164,32115,P,492486.57,19970305,3-MEDIUM,Clerk#40,1,Order 20164 comment
20165,19557,F,36568.76,19921015,4-NOT SPECIFIED,Clerk#27,1,Order 20165 comment
20166,20518,F,390072.45,19951122,1-URGENT,Clerk#7,1,Order 20166 comment
20167,26767,F,150819.52,19951203,2-HIGH,Clerk#11,0,Order 20167 comment
20168,25309,F,10421.11,19950331,5-LOW,Clerk#90,0,Order 20168 comment
20169,3678,F,434317.99,19971217,5-LOW,Clerk#33,1,Order 20169 comment
20170,11832,O,415493.01,19981210,3-MEDIUM,Clerk#14,0,Order 20170 comment
20171,21609,P,488539.1,19970409,4-NOT SPECIFIED,Clerk#34,0,Order 20171 comment
20172,5917,O,309605.42,19941217,4-NOT SPECIFIED,Clerk#75,1,Order 20172 comment
20173,21498,P,346039.01,19960521,3-MEDIUM,Clerk#52,1,Order 20173 comment
20174,10702,F,175986.22,19921015,5-LOW,Clerk#77,1,Order 20174 comment
20175,17051,F,169907.21,19970419,2-HIGH,Clerk#93,1,Order 20175 comment
20176,19410,O,193576.69,19960620,3-MEDIUM,Clerk#7,1,Order 20176 comment
20177,43920,P,441380.96,19931202,4-NOT SPECIFIED,Clerk#39,1,Order 20177 comment
20178,28813,P,454550.54,19980924,5-LOW,Clerk#3,0,Order 20178 comment
20179,38553,F,177198.23,19940805,4-NOT SPECIFIED,Clerk#88,0,Order 20179 comment
20180,18072,P,4316.56,19920108,2-HIGH,Clerk#64,1,Order 20180 comment
20181,6808,F,71135.31,19920714,3-MEDIUM,Clerk#50,0,Order 20181 comment
20182,9559,F,479547.37,19940916,2-HIGH,Clerk#6,0,Order 20182 comment
20183,48330,F,482405.39,19921226,4-NOT SPECIFIED,Clerk#99,0,Order 20183 comment
20184,28901,P,160602.0,19960626,4-NOT SPECIFIED,Clerk#76,0,Order 20184 comment
20185,24542,F,469838.06,19930118,1-URGENT,Clerk#52,1,Order 20185 comment
20186,14595,P,291623.11,19980404,1-URGENT,Clerk#33,0,Order 20186 comment
20187,30321,F,98713.56,19970115,2-HIGH,Clerk#48,0,Order 20187 comment
20188,6610,O,175217.58,19930402,2-HIGH,Clerk#91,1,Order 20188 comment
20189,37410,P,99048.75,19920121,5-LOW,Clerk#19,1,Order 20189 comment
20190,46733,P,125774.4,19920114,1-URGENT,Clerk#81,1,Order 20190 comment
20191,38540,F,273075.24,19930629,1-URGENT,Clerk#15,1,Order 20191 comment
20192,15698,P,291510.88,19970202,3-MEDIUM,Clerk#94,1,Order 20192 comment
20193,3458,F,115551.82,19971012,2-HIGH,Clerk#79,1,Order 20193 comment
20194,5195,P,12081.72,19960801,1-URGENT,Clerk#12,0,Order 20194 comment
20195,28232,F,370443.99,19950226,5-LOW,Clerk#96,0,Order 20195 comment
20196,20783,P,33619.91,19950613,2-HIGH,Clerk#57,0,Order 20196 comment
20197,17653,O,497287.66,19930828,5-LOW,Clerk#72,1,Order 20197 comment
20198,41699,F,236787.21,19920103,1-URGENT,Clerk#74,0,Order 20198 comment
20199,26016,P,261250.22,19980224,3-MEDIUM,Clerk#13,1,Order 20199 comment
20200,13644,F,122188.23,19920529,5-LOW,Clerk#60,1,Order 20200 comment
20201,6988,O,14363.51,19981017,1-URGENT,Clerk#11,0,Order 20201 comment
20202,23123,P,490291.77,19961106,5-LOW,Clerk#97,1,Order 20202 comment
20203,6931,F,19464.07,19970306,1-URGENT,Clerk#44,0,Order 20203 comment
20204,10028,O,129875.05,19970617,5-LOW,Clerk#77,1,Order 20204 comment
20205,10326,P,175733.21,19961224,4-NOT SPECIFIED,Clerk#65,0,Order 20205 comment
20206,12061,O,156583.2,19940416,2-HIGH,Clerk#9,1,Order 20206 comment
20207,43847,P,252163.76,19970309,1-URGENT,Clerk#58,0,Order 20207 comment
20208,29704,O,413957.03,19931227,3-MEDIUM,Clerk#17,0,Order 20208 comment
20209,3126,F,407160.35,19930117,4-NOT SPECIFIED,Clerk#26,0,Order 20209 comment
20210,26880,P,105237.65,19930622,5-LOW,Clerk#29,1,Order 20210 comment
20211,40333,P,380667.36,19970130,5-LOW,Clerk#38,1,Order 20211 comment
20212,19924,F,485381.85,19980528,1-URGENT,Clerk#80,0,Order 20212 comment
20213,16024,O,33523.89,19940505,1-URGENT,Clerk#31,0,Order 20213 comment
20214,4749,O,15991.46,19930402,1-URGENT,Clerk#99,0,Order 20214 comment
20215,9803,P,293326.63,19921001,1-URGENT,Clerk#20,1,Order 20215 comment
20216,1190,O,403665.76,19930409,4-NOT SPECIFIED,Clerk#13,0,Order 20216 comment
20217,4731,F,420391.14,19960104,1-URGENT,Clerk#34,1,Order 20217 comment
20218,14210,O,222149.24,19930114,4-NOT SPECIFIED,Clerk#65,0,Order 20218 comment
20219,18524,P,303667.59,19930514,1-URGENT,Clerk#98,0,Order 20219 comment
20220,8082,F,179647.06,19981023,5-LOW,Clerk#31,1,Order 20220 comment
20221,35783,F,78560.64,19940105,4-NOT SPECIFIED,Clerk#46,1,Order 20221 comment
20222,6586,O,336355.38,19951031,3-MEDIUM,Clerk#83,1,Order 20222 comment
20223,23720,O,330772.64,19960110,2-HIGH,Clerk#40,0,Order 20223 comment
20224,44252,F,26948.51,19940206,5-LOW,Clerk#16,0,Order 20224 comment
20225,26328,O,381926.89,19940319,4-NOT SPECIFIED,Clerk#72,1,Order 20225 comment
20226,17443,O,348360.35,19950220,4-NOT SPECIFIED,Clerk#57,0,Order 20226 comment
20227,49560,F,66627.98,19940720,5-LOW,Clerk#5,0,Order 20227 comment
20228,49853,P,64854.51,19940711,5-LOW,Clerk#21,1,Order 20228 comment
20229,24025,F,239622.74,19940123,5-LOW,Clerk#27,0,Order 20229 comment
20230,27780,O,43137.06,19960126,2-HIGH,Clerk#62,1,Order 20230 comment
20231,37635,P,264624.95,19960827,3-MEDIUM,Clerk#19,0,Order 20231 comment
20232,20649,F,452311.52,19960601,4-NOT SPECIFIED,Clerk#66,1,Order 20232 comment
20233,16728,O,50799.56,19971003,4-NOT SPECIFIED,Clerk#58,0,Order 20233 comment
20234,24267,O,447062.42,19970806,5-LOW,Clerk#85,0,Order 20234 comment
20235,18907,P,354334.54,19980707,3-MEDIUM,Clerk#54,1,Order 20235 comment
20236,36491,F,252604.0,19960929,2-HIGH,Clerk#25,1,Order 20236 comment
20237,44814,F,359547.53,19950213,3-MEDIUM,Clerk#61,1,Order 20237 comment
20238,32209,F,90503.36,19950910,3-MEDIUM,Clerk#76,0,Order 20238 comment
20239,41694,P,33875.01,19981120,1-URGENT,Clerk#49,1,Order 20239 comment
20240,17983,F,17474.53,19970528,3-MEDIUM,Clerk#58,1,Order 20240 comment
20241,7895,O,499968.97,19930715,2-HIGH,Clerk#36,1,Order 20241 comment
20242,11428,P,138423.96,19940411,5-LOW,Clerk#59,1,Order 20242 comment
20243,20631,O,179092.73,19950413,3-MEDIUM,Clerk#14,1,Order 20243 comment
20244,17492,O,420500.49,19961103,1-URGENT,Clerk#4,1,Order 20244 comment
20245,38024,O,431460.59,19941229,1-URGENT,Clerk#7,0,Order 20245 comment
20246,36582,O,315795.11,19950607,1-URGENT,Clerk#95,0,Order 20246 comment
20247,14511,O,176053.86,19980609,1-URGENT,Clerk#99,1,Order 20247 comment
20248,5965,P,162666.0,19920304,1-URGENT,Clerk#91,1,Order 20248 comment
20249,37097,O,391026.01,19950404,5-LOW,Clerk#15,0,Order 20249 comment
20250,9050,P,415567.65,19921008,5-LOW,Clerk#61,1,Order 20250 comment
20251,45848,F,363541.5,19981124,5-LOW,Clerk#48,1,Order 20251 comment
20252,6918,F,195524.67,19960328,4-NOT SPECIFIED,Clerk#75,1,Order 20252 comment
20253,12704,O,260982.63,19940130,3-MEDIUM,Clerk#100,1,Order 20253 comment
20254,14726,P,269828.35,19980725,5-LOW,Clerk#60,0,Order 20254 comment
20255,42765,O,49732.25,19970818,2-HIGH,Clerk#45,1,Order 20255 comment
20256,34766,O,53271.95,19920813,3-MEDIUM,Clerk#73,1,Order 20256 comment
20257,14116,F,206606.85,19950914,5-LOW,Clerk#36,1,Order 20257 comment
20258,25413,O,292982.22,19971203,3-MEDIUM,Clerk#57,0,Order 20258 comment
20259,5538,O,103065.45,19961008,3-MEDIUM,Clerk#37,1,Order 20259 comment
20260,44558,O,147907.39,19971117,2-HIGH,Clerk#72,0,Order 20260 comment
20261,13512,O,354986.26,19940126,5-LOW,Clerk#50,1,Order 20261 comment
20262,32298,P,96778.03,19960623,3-MEDIUM,Clerk#83,0,Order 20262 comment
20263,37687,P,33539.27,19960410,1-URGENT,Clerk#27,0,Order 20263 comment
20264,37461,F,155678.26,19940126,3-MEDIUM,Clerk#86,1,Order 20264 comment
20265,24542,P,9909.61,19960418,1-URGENT,Clerk#14,1,Order 20265 comment
20266,9540,O,149388.44,19940414,4-NOT SPECIFIED,Clerk#46,0,Order 20266 comment
20267,18662,P,360821.78,19951118,3-MEDIUM,Clerk#47,1,Order 20267 comment
20268,26517,O,236744.97,19950305,4-NOT SPECIFIED,Clerk#35,1,Order 20268 comment
20269,30073,F,321413.67,19970227,3-MEDIUM,Clerk#84,0,Order 20269 comment
20270,8115,F,138941.74,19940919,5-LOW,Clerk#13,1,Order 20270 comment
20271,25464,P,382149.95,19941005,3-MEDIUM,Clerk#26,0,Order 20271 comment
20272,19272,F,351498.0,19950517,2-HIGH,Clerk#54,1,Order 20272 comment
20273,39659,P,87693.19,19950129,5-LOW,Clerk#28,0,Order 20273 comment
20274,14131,O,326936.3,19921219,4-NOT SPECIFIED,Clerk#3,1,Order 20274 comment
20275,16101,F,69054.65,19950801,3-MEDIUM,Clerk#54,0,Order 20275 comment
20276,35384,P,259867.12,19970310,4-NOT SPECIFIED,Clerk#50,1,Order 20276 comment
20277,11729,O,197091.5,19960830,3-MEDIUM,Clerk#52,0,Order 20277 comment
20278,29526,F,409513.45,19980119,1-URGENT,Clerk#22,0,Order 20278 comment
20279,25168,P,65771.58,19920318,5-LOW,Clerk#7,1,Order 20279 comment
20280,34121,O,254317.49,19950811,4-NOT SPECIFIED,Clerk#68,0,Order 20280 comment
20281,44847,O,376377.24,19950103,3-MEDIUM,Clerk#19,1,Order 20281 comment
20282,24729,F,24265.01,19980720,4-NOT SPECIFIED,Clerk#10,1,Order 20282 comment
20283,38841,F,416462.27,19941028,2-HIGH,Clerk#15,0,Order 20283 comment
20284,42851,P,2854.55,19970604,4-NOT SPECIFIED,Clerk#32,1,Order 20284 comment
20285,3820,P,308046.83,19930528,4-NOT SPECIFIED,Clerk#72,1,Order 20285 comment
20286,37621,P,110756.29,19960416,4-NOT SPECIFIED,Clerk#3,1,Order 20286 comment
20287,33126,O,307880.11,19970420,2-HIGH,Clerk#38,0,Order 20287 comment
20288,21943,P,392227.28,19981010,3-MEDIUM,Clerk#88,0,Order 20288 comment
20289,3831,P,228608.65,19950728,4-NOT SPECIFIED,Clerk#64,0,Order 20289 comment
20290,38642,F,276999.29,19971206,2-HIGH,Clerk#93,1,Order 20290 comment
20291,6653,O,352146.84,19940409,2-HIGH,Clerk#10,1,Order 20291 comment
20292,28066,F,261931.76,19960705,2-HIGH,Clerk#28,1,Order 20292 comment
20293,724,P,313416.33,19930516,5-LOW,Clerk#94,0,Order 20293 comment
20294,16341,F,208266.15,19940921,5-LOW,Clerk#58,1,Order 20294 comment
20295,36834,P,317908.3,19951201,1-URGENT,Clerk#69,0,Order 20295 comment
20296,8729,O,24646.67,19920921,4-NOT SPECIFIED,Clerk#42,1,Order 20296 comment
20297,31677,O,59400.1,19970421,3-MEDIUM,Clerk#21,1,Order 20297 comment
20298,11472,P,220842.98,19970930,5-LOW,Clerk#2,1,Order 20298 comment
20299,30628,P,355477.0,19920504,2-HIGH,Clerk#98,0,Order 20299 comment
20300,47088,F,127050.96,19930113,1-URGENT,Clerk#100,1,Order 20300 comment
20301,28930,P,376969.1,19960903,3-MEDIUM,Clerk#84,1,Order 20301 comment
20302,18376,O,33984.33,19930107,5-LOW,Clerk#73,1,Order 20302 comment
20303,20778,O,107960.47,19940226,3-MEDIUM,Clerk#54,1,Order 20303 comment
20304,49956,P,239839.93,19970125,1-URGENT,Clerk#43,1,Order 20304 comment
20305,33316,F,25419.53,19930114,4-NOT SPECIFIED,Clerk#59,1,Order 20305 comment
20306,45382,P,456004.28,19960525,2-HIGH,Clerk#30,1,Order 20306 comment
20307,16566,P,448224.46,19920216,4-NOT SPECIFIED,Clerk#53,1,Order 20307 comment
20308,1721,F,48435.38,19970826,5-LOW,Clerk#98,0,Order 20308 comment
20309,17801,F,238130.89,19951212,4-NOT SPECIFIED,Clerk#5,1,Order 20309 comment
20310,48573,F,381079.04,19980121,5-LOW,Clerk#78,1,Order 20310 comment
20311,48043,O,470772.63,19980224,3-MEDIUM,Clerk#22,0,Order 20311 comment
20312,28708,O,297094.4,19930722,1-URGENT,Clerk#74,1,Order 20312 comment
20313,801,P,108887.23,19940916,1-URGENT,Clerk#49,1,Order 20313 comment
20314,2874,F,290873.49,19950908,2-HIGH,Clerk#71,0,Order 20314 comment
20315,20840,P,56529.0,19940923,1-URGENT,Clerk#27,0,Order 20315 comment
20316,5581,F,417931.48,19960112,5-LOW,Clerk#26,1,Order 20316 comment
20317,47752,O,152393.67,19981228,5-LOW,Clerk#64,1,Order 20317 comment
20318,45483,F,348086.42,19920508,2-HIGH,Clerk#34,0,Order 20318 comment
20319,39578,O,177948.29,19980112,5-LOW,Clerk#10,1,Order 20319 comment
20320,23918,F,208271.88,19930522,1-URGENT,Clerk#58,0,Order 20320 comment
20321,9831,O,188485.94,19960228,5-LOW,Clerk#25,1,Order 20321 comment
20322,43429,O,221846.21,19981130,5-LOW,Clerk#67,1,Order 20322 comment
20323,29420,P,407067.62,19930730,2-HIGH,Clerk#70,0,Order 20323 comment
20324,34811,O,72954.96,19941209,3-MEDIUM,Clerk#97,1,Order 20324 comment
20325,38514,F,465421.88,19970124,5-LOW,Clerk#3,0,Order 20325 comment
20326,8314,F,178405.7,19970714,5-LOW,Clerk#93,1,Order 20326 comment
20327,5980,O,121654.29,19960515,2-HIGH,Clerk#100,1,Order 20327 comment
20328,11496,F,268752.89,19970404,5-LOW,Clerk#63,0,Order 20328 comment
20329,42539,F,449134.06,19931124,4-NOT SPECIFIED,Clerk#51,1,Order 20329 comment
20330,33520,P,126280.46,19940822,3-MEDIUM,Clerk#95,0,Order 20330 comment
20331,22051,O,43741.01,19961207,5-LOW,Clerk#47,0,Order 20331 comment
20332,19289,F,128435.19,19980912,3-MEDIUM,Clerk#15,0,Order 20332 comment
20333,18326,O,334803.78,19930913,3-MEDIUM,Clerk#46,0,Order 20333 comment
20334,2923,F,181410.73,19960816,2-HIGH,Clerk#45,0,Order 20334 comment
20335,21939,F,441637.01,19981014,3-MEDIUM,Clerk#78,0,Order 20335 comment
20336,38607,O,70361.49,19940301,5-LOW,Clerk#85,1,Order 20336 comment
20337,32703,P,415501.36,19930320,2-HIGH,Clerk#22,0,Order 20337 comment
20338,10700,P,48992.22,19980519,4-NOT SPECIFIED,Clerk#30,1,Order 20338 comment
20339,3913,O,35085.01,19970716,3-MEDIUM,Clerk#97,0,Order 20339 comment
20340,39836,F,357361.22,19930313,4-NOT SPECIFIED,Clerk#27,0,Order 20340 comment
20341,30744,F,455297.13,19940315,1-URGENT,Clerk#56,1,Order 20341 comment
20342,44261,F,311582.3,19971227,1-URGENT,Clerk#37,1,Order 20342 comment
20343,49889,P,265669.85,19940901,4-NOT SPECIFIED,Clerk#75,0,Order 20343 comment
20344,6933,O,400782.89,19950711,1-URGENT,Clerk#10,1,Order 20344 comment
20345,13132,O,2561.24,19940430,5-LOW,Clerk#29,1,Order 20345 comment
20346,25727,O,200739.2,19940823,5-LOW,Clerk#97,1,Order 20346 comment
20347,43879,O,428962.76,19941126,1-URGENT,Clerk#16,1,Order 20347 comment
20348,24654,O,435990.73,19950723,5-LOW,Clerk#45,1,Order 20348 comment
20349,12763,P,215291.11,19970316,4-NOT SPECIFIED,Clerk#81,1,Order 20349 comment
20350,24868,P,262514.94,19951025,3-MEDIUM,Clerk#83,0,Order 20350 comment
20351,14303,F,353451.68,19980603,4-NOT SPECIFIED,Clerk#47,1,Order 20351 comment
20352,31550,F,118578.41,19920804,2-HIGH,Clerk#64,1,Order 20352 comment
20353,43727,F,474292.45,19941002,2-HIGH,Clerk#21,1,Order 20353 comment
20354,45188,O,325250.0,19980801,4-NOT SPECIFIED,Clerk#6,1,Order 20354 comment
20355,29486,O,345101.56,19941221,4-NOT SPECIFIED,Clerk#13,1,Order 20355 comment
20356,22976,F,345115.64,19980613,5-LOW,Clerk#70,1,Order 20356 comment
20357,14315,F,291302.47,19950816,2-HIGH,Clerk#45,1,Order 20357 comment
20358,44718,O,440386.29,19970418,2-HIGH,Clerk#2,0,Order 20358 comment
20359,25516,O,46314.07,19930516,3-MEDIUM,Clerk#29,0,Order 20359 comment
20360,11144,O,223232.37,19940915,3-MEDIUM,Clerk#3,0,Order 20360 comment
20361,17770,F,27977.35,19970812,3-MEDIUM,Clerk#4,1,Order 20361 comment
20362,28801,F,144231.24,19960915,5-LOW,Clerk#69,1,Order 20362 comment
20363,24314,O,43553.98,19970929,1-URGENT,Clerk#11,1,Order 20363 comment
20364,12188,F,88206.68,19970811,2-HIGH,Clerk#39,0,Order 20364 comment
20365,7167,F,30077.02,19970921,3-MEDIUM,Clerk#40,1,Order 20365 comment
20366,15104,O,325061.16,19940915,1-URGENT,Clerk#39,0,Order 20366 comment
20367,36247,F,107157.85,19940213,3-MEDIUM,Clerk#17,0,Order 20367 comment
20368,35112,P,358330.24,19931222,4-NOT SPECIFIED,Clerk#44,0,Order 20368 comment
20369,22454,P,81083.11,19970209,1-URGENT,Clerk#46,1,Order 20369 comment
20370,3788,F,441597.43,19961102,1-URGENT,Clerk#92,1,Order 20370 comment
20371,6757,P,411887.44,19930111,5-LOW,Clerk#82,0,Order 20371 comment
20372,15248,F,99713.64,19960801,3-MEDIUM,Clerk#19,1,Order 20372 comment
20373,32290,P,422521.66,19931017,1-URGENT,Clerk#60,1,Order 20373 comment
20374,45520,O,409288.63,19940717,3-MEDIUM,Clerk#30,0,Order 20374 comment
20375,42078,P,78990.52,19951007,2-HIGH,Clerk#10,1,Order 20375 comment
20376,38090,O,250348.58,19961021,2-HIGH,Clerk#65,0,Order 20376 comment
20377,44284,P,303252.92,19970314,1-URGENT,Clerk#93,1,Order 20377 comment
20378,16054,P,115141.25,19930711,5-LOW,Clerk#65,1,Order 20378 comment
20379,24105,O,47901.66,19960512,5-LOW,Clerk#59,0,Order 20379 comment
20380,11032,P,433726.9,19941027,5-LOW,Clerk#95,0,Order 20380 comment
20381,39264,O,113875.75,19940612,5-LOW,Clerk#86,0,Order 20381 comment
20382,28994,F,307104.35,19950901,5-LOW,Clerk#79,1,Order 20382 comment
20383,8596,P,121971.42,19931210,5-LOW,Clerk#45,1,Order 20383 comment
20384,47474,O,26253.04,19940207,3-MEDIUM,Clerk#52,1,Order 20384 comment
20385,38568,F,52192.95,19930429,3-MEDIUM,Clerk#86,1,Order 20385 comment
20386,4289,P,487473.36,19950401,4-NOT SPECIFIED,Clerk#23,0,Order 20386 comment
20387,21322,P,189143.94,19961227,3-MEDIUM,Clerk#69,0,Order 20387 comment
20388,12958,F,138110.86,19930126,5-LOW,Clerk#6,0,Order 20388 comment
20389,11533,F,134225.65,19960907,4-NOT SPECIFIED,Clerk#17,1,Order 20389 comment
20390,30548,F,215456.09,19921222,3-MEDIUM,Clerk#7,1,Order 20390 comment
20391,8823,F,457198.65,19950409,2-HIGH,Clerk#75,1,Order 20391 comment
20392,26122,P,277333.52,19921213,2-HIGH,Clerk#13,0,Order 20392 comment
20393,1210,F,273047.97,19920811,1-URGENT,Clerk#29,0,Order 20393 comment
20394,44977,F,3747.64,19970301,1-URGENT,Clerk#25,0,Order 20394 comment
20395,15311,F,142025.24,19930531,4-NOT SPECIFIED,Clerk#19,1,Order 20395 comment
20396,33510,F,258671.47,19920111,1-URGENT,Clerk#52,0,Order 20396 comment
20397,325,F,426700.86,19970709,4-NOT SPECIFIED,Clerk#37,0,Order 20397 comment
20398,38951,P,81146.75,19921103,2-HIGH,Clerk#10,1,Order 20398 comment
20399,3740,P,334402.52,19961015,5-LOW,Clerk#27,0,Order 20399 comment
20400,4860,F,496800.12,19940718,3-MEDIUM,Clerk#98,0,Order 20400 comment
